"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","test_create_invalid_user[@john_doe-4ahKuB2@F2-USER-username-Username must contain only letters, digits, dashes, underscores, and dots]","src.tests.api","Tue Dec 02 12:04:16 UTC 2025","passed","Tue Dec 02 12:04:16 UTC 2025","TestCreateUser","create_user_test","",""
"","281","test_user_can_create_account_by_ui","src.tests.ui","Tue Dec 02 12:05:23 UTC 2025","failed","Tue Dec 02 12:05:23 UTC 2025","","test_create_user_account","",""
"","320","test_successful_deposit","src.tests.api","Tue Dec 02 12:04:16 UTC 2025","passed","Tue Dec 02 12:04:16 UTC 2025","TestAccountDeposit","deposit_test","",""
"","30018","test_admin_create_user","src.tests.ui","Tue Dec 02 12:04:20 UTC 2025","broken","Tue Dec 02 12:04:50 UTC 2025","","test_create_user","",""
"","30016","test_admin_create_invalid_user","src.tests.ui","Tue Dec 02 12:04:51 UTC 2025","broken","Tue Dec 02 12:05:21 UTC 2025","","test_create_user","",""
"","77","test_login_user","src.tests.api","Tue Dec 02 12:04:17 UTC 2025","passed","Tue Dec 02 12:04:17 UTC 2025","TestLoginUser","login_user_test","",""
"","365","test_create_account","src.tests.api","Tue Dec 02 12:04:15 UTC 2025","passed","Tue Dec 02 12:04:15 UTC 2025","TestCreateAccount","create_account_test","",""
"","232","test_create_valid_user[create_user_request0]","src.tests.api","Tue Dec 02 12:04:15 UTC 2025","passed","Tue Dec 02 12:04:15 UTC 2025","TestCreateUser","create_user_test","",""
"","78","test_create_invalid_user[ab-5&o5So9dRY-USER-username-Username must be between 3 and 15 characters]","src.tests.api","Tue Dec 02 12:04:15 UTC 2025","passed","Tue Dec 02 12:04:16 UTC 2025","TestCreateUser","create_user_test","",""
"","768","test_transfer_successful","src.tests.api","Tue Dec 02 12:04:18 UTC 2025","passed","Tue Dec 02 12:04:18 UTC 2025","TestTransfer","transfer_test","",""
"","30170","test_user_can_login_with_correct_data","src.tests.ui","Tue Dec 02 12:05:55 UTC 2025","broken","Tue Dec 02 12:06:25 UTC 2025","","test_login_user","",""
"","30017","test_admin_can_login_with_correct_data","src.tests.ui","Tue Dec 02 12:05:23 UTC 2025","broken","Tue Dec 02 12:05:54 UTC 2025","","test_login_user","",""
"","77","test_login_admin_user","src.tests.api","Tue Dec 02 12:04:17 UTC 2025","passed","Tue Dec 02 12:04:17 UTC 2025","TestLoginUser","login_user_test","",""
"","85","test_create_invalid_user[-bCE2d$E8o4-USER-username-Username cannot be blank]","src.tests.api","Tue Dec 02 12:04:15 UTC 2025","passed","Tue Dec 02 12:04:15 UTC 2025","TestCreateUser","create_user_test","",""
"","78","test_create_invalid_user[qwertyuiopqwerty-Xr$e38U3Jl-USER-username-Username must be between 3 and 15 characters]","src.tests.api","Tue Dec 02 12:04:16 UTC 2025","passed","Tue Dec 02 12:04:16 UTC 2025","TestCreateUser","create_user_test","",""
