"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","test_create_account","src.tests.api","Mon Nov 24 12:00:46 UTC 2025","passed","Mon Nov 24 12:00:46 UTC 2025","TestCreateAccount","create_account_test","",""
"","77","test_login_admin_user","src.tests.api","Mon Nov 24 12:00:48 UTC 2025","passed","Mon Nov 24 12:00:48 UTC 2025","TestLoginUser","login_user_test","",""
"","78","test_create_invalid_user[qwertyuiopqwerty-97vZcF7Gd^-USER-username-Username must be between 3 and 15 characters]","src.tests.api","Mon Nov 24 12:00:47 UTC 2025","passed","Mon Nov 24 12:00:47 UTC 2025","TestCreateUser","create_user_test","",""
"","481","test_user_can_login_with_correct_data","src.tests.ui","Mon Nov 24 12:00:54 UTC 2025","passed","Mon Nov 24 12:00:54 UTC 2025","","test_login_user","",""
"","232","test_create_valid_user[create_user_request0]","src.tests.api","Mon Nov 24 12:00:46 UTC 2025","passed","Mon Nov 24 12:00:46 UTC 2025","TestCreateUser","create_user_test","",""
"","779","test_admin_create_invalid_user","src.tests.ui","Mon Nov 24 12:00:51 UTC 2025","passed","Mon Nov 24 12:00:52 UTC 2025","","test_create_user","",""
"","319","test_successful_deposit","src.tests.api","Mon Nov 24 12:00:47 UTC 2025","passed","Mon Nov 24 12:00:47 UTC 2025","TestAccountDeposit","deposit_test","",""
"","78","test_create_invalid_user[@john_doe-l2cD@F4Qo7-USER-username-Username must contain only letters, digits, dashes, underscores, and dots]","src.tests.api","Mon Nov 24 12:00:47 UTC 2025","passed","Mon Nov 24 12:00:47 UTC 2025","TestCreateUser","create_user_test","",""
"","773","test_transfer_successful","src.tests.api","Mon Nov 24 12:00:49 UTC 2025","passed","Mon Nov 24 12:00:49 UTC 2025","TestTransfer","transfer_test","",""
"","352","test_admin_can_login_with_correct_data","src.tests.ui","Mon Nov 24 12:00:53 UTC 2025","passed","Mon Nov 24 12:00:54 UTC 2025","","test_login_user","",""
"","964","test_user_can_create_account_by_ui","src.tests.ui","Mon Nov 24 12:00:52 UTC 2025","passed","Mon Nov 24 12:00:53 UTC 2025","","test_create_user_account","",""
"","80","test_create_invalid_user[ab-&0hTN6xFl5-USER-username-Username must be between 3 and 15 characters]","src.tests.api","Mon Nov 24 12:00:47 UTC 2025","passed","Mon Nov 24 12:00:47 UTC 2025","TestCreateUser","create_user_test","",""
"","79","test_login_user","src.tests.api","Mon Nov 24 12:00:48 UTC 2025","passed","Mon Nov 24 12:00:48 UTC 2025","TestLoginUser","login_user_test","",""
"","1085","test_admin_create_user","src.tests.ui","Mon Nov 24 12:00:50 UTC 2025","passed","Mon Nov 24 12:00:51 UTC 2025","","test_create_user","",""
"","88","test_create_invalid_user[-Dsr26@Ot8E-USER-username-Username cannot be blank]","src.tests.api","Mon Nov 24 12:00:46 UTC 2025","passed","Mon Nov 24 12:00:47 UTC 2025","TestCreateUser","create_user_test","",""
